Model,Type,Mode,Recall@10,Recall@50,MRR,NDCG@10,NDCG@50,AUC
BLaIR-Base,blair_base,text,0.07257580861149679,0.10987422055356101,0.05873731348823772,0.05989950307238652,0.06799000043812535,0.6686661641123451
BLaIR-Large,blair_large,text,0.06906367841210638,0.10752047715677657,0.05487029498102663,0.056068927580813666,0.06440015295143516,0.6682209336627709
RoBERTa-CLIP-Unfrozen,blair_clip,text,0.08144445083428496,0.1257547999112725,0.06530462819217403,0.06673168664269542,0.07633313256529535,0.5490647817714809
RoBERTa-CLIP-Unfrozen,blair_clip,image,0.069416945309355,0.07895104378044873,0.06612413535674845,0.06629151839287536,0.06834454769412376,0.7338169899573611
RoBERTa-CLIP-Unfrozen,blair_clip,combined,0.08162929979214761,0.12570550685584245,0.06536884446518226,0.06683419790514337,0.07638749914523245,0.5522360571381802
RoBERTa-CLIP-Frozen,blair_clip,text,0.08137461900575907,0.12585749377675176,0.06543960017440191,0.06681158565284634,0.07644768122053769,0.5489437997303046
RoBERTa-CLIP-Frozen,blair_clip,image,0.0633908692830325,0.08353529793544252,0.0552228924773276,0.05603916412245673,0.060369941073898384,0.7371575437941412
RoBERTa-CLIP-Frozen,blair_clip,combined,0.0795877457464201,0.1191947157844579,0.06524205683708202,0.06648619516475301,0.07507566493768418,0.6205949243786809
BLaIR-CLIP-Unfrozen,blair_clip,text,0.08354351344468088,0.12904100360660856,0.0666833593669148,0.06818774239243472,0.07806302746890993,0.5681215636243936
BLaIR-CLIP-Unfrozen,blair_clip,image,0.04405156053597982,0.08881376262107607,0.04215245177913969,0.04116633266546048,0.05028260670961205,0.7887458450029559
BLaIR-CLIP-Unfrozen,blair_clip,combined,0.08298485881647374,0.12847824122378226,0.06515428035562067,0.06691807487858262,0.07678747061652569,0.6071879542466533
BLaIR-CLIP-Frozen,blair_clip,text,0.08351475916234667,0.1289259864772718,0.0666756377334156,0.06818229992221596,0.07802901554992234,0.5679754667636863
BLaIR-CLIP-Frozen,blair_clip,image,0.06330460643602993,0.08334634122296071,0.05515796272445119,0.05596700403525989,0.06028419259321977,0.7484312256772828
BLaIR-CLIP-Frozen,blair_clip,combined,0.08166626958372014,0.12146630408885895,0.06561160075607803,0.06723843841463854,0.07588083150654047,0.6645954368139079
